Date;rubusd
16.08.2017;59.4361
15.08.2017;59.7964
14.08.2017;59.6285
11.08.2017;59.9235
10.08.2017;59.9963
09.08.2017;60.1415
08.08.2017;59.7668
07.08.2017;60.1066
04.08.2017;59.9371
03.08.2017;60.1418
02.08.2017;60.6187
01.08.2017;60.2605
31.07.2017;60.0408
28.07.2017;59.5225
27.07.2017;59.436
26.07.2017;59.6675
25.07.2017;59.9978
24.07.2017;60.0326
21.07.2017;59.1728
20.07.2017;59.0438
19.07.2017;58.9463
18.07.2017;59.085
17.07.2017;59.3801
14.07.2017;59.1478
13.07.2017;59.9495
12.07.2017;60.0259
11.07.2017;60.9481
10.07.2017;60.2948
07.07.2017;60.5355
06.07.2017;59.8795
05.07.2017;60.0544
04.07.2017;59.358
03.07.2017;59.3761
30.06.2017;59.1519
29.06.2017;59.2301
28.06.2017;59.4334
27.06.2017;58.9675
26.06.2017;59.0291
23.06.2017;59.4876
22.06.2017;59.886
21.06.2017;59.9023
20.06.2017;59.6614
19.06.2017;58.3691
16.06.2017;57.7501
15.06.2017;57.7295
14.06.2017;57.1237
13.06.2017;56.8716
09.06.2017;56.9657
08.06.2017;56.8528
07.06.2017;56.9067
06.06.2017;56.5779
05.06.2017;56.6398
02.06.2017;56.6748
01.06.2017;56.3284
31.05.2017;56.8369
30.05.2017;56.653
29.05.2017;56.3097
26.05.2017;56.7857
25.05.2017;56.6143
24.05.2017;56.5392
23.05.2017;56.298
22.05.2017;56.7061
19.05.2017;56.8328
18.05.2017;57.5643
17.05.2017;56.8925
16.05.2017;56.4103
15.05.2017;56.3426
12.05.2017;57.1347
11.05.2017;57.047
10.05.2017;57.4761
05.05.2017;58.1018
04.05.2017;58.2386
03.05.2017;57.2849
02.05.2017;56.998
28.04.2017;57.0077
27.04.2017;57.2505
26.04.2017;57.0564
25.04.2017;56.1645
24.04.2017;55.8499
21.04.2017;56.5069
20.04.2017;56.1843
19.04.2017;56.5005
18.04.2017;56.1576
17.04.2017;55.9277
14.04.2017;56.2525
13.04.2017;56.2355
12.04.2017;56.8847
11.04.2017;57.1084
10.04.2017;57.272
07.04.2017;57.1569
06.04.2017;56.3456
05.04.2017;56.2076
04.04.2017;56.1748
03.04.2017;56.3459
31.03.2017;56.4528
30.03.2017;56.0061
29.03.2017;56.6726
28.03.2017;56.8856
27.03.2017;56.8953
24.03.2017;57.1347
23.03.2017;57.466
22.03.2017;57.8207
21.03.2017;57.522
20.03.2017;57.3836
17.03.2017;57.7113
16.03.2017;57.8834
15.03.2017;59.0726
14.03.2017;59.2688
13.03.2017;58.934
10.03.2017;58.8902
09.03.2017;59.4066
07.03.2017;58.1234
06.03.2017;58.0825
03.03.2017;58.4666
02.03.2017;58.6897
01.03.2017;58.492
28.02.2017;58.3299
27.02.2017;57.9823
24.02.2017;58.3982
22.02.2017;57.8994
21.02.2017;57.7008
20.02.2017;58.0289
17.02.2017;58.1868
16.02.2017;57.547
15.02.2017;57.4137
14.02.2017;57.4646
13.02.2017;58.0408
10.02.2017;58.5064
09.02.2017;58.8767
08.02.2017;59.226
07.02.2017;59.2738
06.02.2017;59.0876
03.02.2017;58.9242
02.02.2017;59.6352
01.02.2017;60.215
31.01.2017;60.0031
30.01.2017;59.8653
27.01.2017;59.7063
26.01.2017;60.35
25.01.2017;59.1046
24.01.2017;59.2917
23.01.2017;59.4253
20.01.2017;59.7398
19.01.2017;59.9283
18.01.2017;59.3605
17.01.2017;59.3484
16.01.2017;59.9108
13.01.2017;59.7083
12.01.2017;59.2903
11.01.2017;60.4858
10.01.2017;59.9875
09.01.2017;60.0373
06.01.2017;59.4782
05.01.2017;59.2607
04.01.2017;60.6085
03.01.2017;60.5357
30.12.2016;61.0378
29.12.2016;60.7418
28.12.2016;60.413
27.12.2016;60.7259
26.12.2016;61.0034
23.12.2016;61.2389
22.12.2016;60.8507
21.12.2016;61.0874
20.12.2016;61.3855
19.12.2016;61.7656
16.12.2016;61.903
15.12.2016;61.9274
14.12.2016;61.118
13.12.2016;60.805
12.12.2016;61.0764
09.12.2016;62.6709
08.12.2016;63.3555
07.12.2016;63.8017
06.12.2016;63.9675
05.12.2016;63.5974
02.12.2016;63.8614
01.12.2016;63.8166
30.11.2016;64.4372
29.11.2016;65.3598
28.11.2016;64.8077
25.11.2016;64.8947
24.11.2016;64.39
23.11.2016;64.6105
22.11.2016;64.0112
21.11.2016;63.905
18.11.2016;64.8088
17.11.2016;64.6173
16.11.2016;64.582
15.11.2016;64.8073
14.11.2016;66.329
11.11.2016;65.9794
10.11.2016;64.7908
09.11.2016;63.9867
08.11.2016;63.7365
07.11.2016;63.813
03.11.2016;63.6635
02.11.2016;63.7355
01.11.2016;63.1182
31.10.2016;63.3918
28.10.2016;62.9183
27.10.2016;62.8288
26.10.2016;62.8696
25.10.2016;62.1454
24.10.2016;62.2198
21.10.2016;62.5243
20.10.2016;62.4346
19.10.2016;62.2778
18.10.2016;62.8522
17.10.2016;63.0802
14.10.2016;63.0143
13.10.2016;63.0166
12.10.2016;63.0495
11.10.2016;62.7055
10.10.2016;61.9315
07.10.2016;62.246
06.10.2016;62.2321
05.10.2016;62.4243
04.10.2016;62.48
03.10.2016;62.2966
30.09.2016;62.8851
29.09.2016;62.9974
28.09.2016;63.9751
27.09.2016;63.9482
26.09.2016;63.779
23.09.2016;63.7635
22.09.2016;63.6655
21.09.2016;64.2453
20.09.2016;64.7053
19.09.2016;64.5462
16.09.2016;64.9423
15.09.2016;64.7795
14.09.2016;65.0608
13.09.2016;65.1978
12.09.2016;64.6807
09.09.2016;64.679
08.09.2016;63.7677
07.09.2016;64.3265
06.09.2016;64.55
05.09.2016;65.0182
02.09.2016;65.085
01.09.2016;65.9043
31.08.2016;65.3607
30.08.2016;65.2505
29.08.2016;65.0531
26.08.2016;64.5085
25.08.2016;64.7318
24.08.2016;65.2243
23.08.2016;64.4628
22.08.2016;64.7216
19.08.2016;63.9293
18.08.2016;63.6501
17.08.2016;64.258
16.08.2016;63.8498
15.08.2016;64.0762
12.08.2016;64.9191
11.08.2016;64.5433
10.08.2016;64.6486
09.08.2016;64.6042
08.08.2016;64.6464
05.08.2016;65.4755
04.08.2016;66.0588
03.08.2016;66.3973
02.08.2016;66.7234
01.08.2016;66.498
29.07.2016;66.0432
28.07.2016;66.6775
27.07.2016;66.2618
26.07.2016;66.0379
25.07.2016;65.3862
22.07.2016;64.8536
21.07.2016;64.1209
20.07.2016;63.724
19.07.2016;63.3446
18.07.2016;62.9185
15.07.2016;63.4437
14.07.2016;62.9258
13.07.2016;64.0343
12.07.2016;63.9123
11.07.2016;64.022
08.07.2016;63.8689
07.07.2016;64.1881
06.07.2016;64.5149
05.07.2016;64.543
04.07.2016;63.8673
01.07.2016;64.0165
30.06.2016;64.0045
29.06.2016;63.8651
28.06.2016;64.6227
27.06.2016;65.2785
24.06.2016;65.0561
23.06.2016;64.2448
22.06.2016;64.4354
21.06.2016;63.9988
20.06.2016;64.1037
17.06.2016;64.96
16.06.2016;65.8125
15.06.2016;65.4135
14.06.2016;65.9977
10.06.2016;64.8544
09.06.2016;64.1046
08.06.2016;63.684
07.06.2016;64.7812
06.06.2016;65.3844
03.06.2016;65.8513
02.06.2016;67.233
01.06.2016;66.9715
31.05.2016;66.1519
